id,name,imageUrl,category,location,Count,tasks,order
f1,なぎさ プリン 3個,images/439e52d30e.svg,常温ゼリー,洋日配,6,,0
f2,あさひ 豆乳飲料麦芽 200ml,images/a66cdf1b8b.svg,常温飲料,洋日配,3,,1
f3,クリア ヨード卵 6個入,images/56c54d34c8.svg,卵,洋日配,1,,2
f4,めぐみ 白桃ゼリー 200g,images/f634f2e874.svg,常温ゼリー,洋日配,6,,3
f5,そよかぜ 甘酒 190ml,images/eaa5e16bf4.svg,常温飲料,洋日配,1,,4
f6,つぼみ MS卵 10個入,images/b310380aaa.svg,卵,洋日配,0,,5
f7,ひまわり ふるーつゼリー,images/43c32ce251.svg,常温ゼリー,洋日配,0,,6
f8,ほのか 野菜ジュース 紙パック 200ml,images/9aac0affb6.svg,常温飲料,洋日配,3,,7
f9,つぼみ L玉卵 6個入,images/780080fa82.svg,卵,洋日配,6,,8
f10,しずく プリン 3個,images/c3f8e815a6.svg,常温ゼリー,洋日配,0,,9
f11,そよかぜ アーモンドミルク 200ml,images/2448b3e3ca.svg,常温飲料,洋日配,2,,10
f12,ほのか 赤玉卵 6個入,images/0ccb8b44d9.svg,卵,洋日配,2,,11
f13,ひまわり りんごゼリー 200g,images/976e51725d.svg,常温ゼリー,洋日配,1,,12
f14,こもれび 調製豆乳 200ml,images/2b89195e22.svg,常温飲料,洋日配,12,,13
f15,サンサン L玉卵 10個入,images/ad855d3d88.svg,卵,洋日配,0,,14
f16,あさひ 蒟蒻ゼリー 6個,images/f25a7e5888.svg,常温ゼリー,洋日配,6,,15
f17,こもれび 栗豆乳 200ml,images/6b27fa3845.svg,常温飲料,洋日配,0,,16
f18,あさひ 黄身さわやか卵 6個入,images/2bd8019127.svg,卵,洋日配,6,,17
f19,そよかぜ 杏仁豆腐 3個,images/a7a6ca908c.svg,常温ゼリー,洋日配,0,,18
f20,ひまわり オーツミルク 200ml,images/c13fd4f749.svg,常温飲料,洋日配,3,,19
f21,あさひ MS卵 10個入,images/74ed7235e9.svg,卵,洋日配,1,,20
f22,ゆいまーる りんごゼリー 200g,images/01456ecc85.svg,常温ゼリー,洋日配,2,,21
f23,そよかぜ オーツ麦芽 200ml,images/46ff32a833.svg,常温飲料,洋日配,12,,22
f24,つぼみ 平飼い卵 6個入,images/adf488cdfc.svg,卵,洋日配,12,,23
f25,つぼみ プリン 3個,images/45b44a4557.svg,常温ゼリー,洋日配,6,,24
f26,ひまわり 豆乳ヨーグルト 400g,images/dc695b7f2d.svg,常温飲料,洋日配,1,,25
f27,つぼみ L玉卵 10個入,images/fe762ce9c3.svg,卵,洋日配,12,,26
f28,ほのか 牛乳プリン 3個,images/5eedc652cc.svg,常温ゼリー,洋日配,0,,27
f29,サンサン アーモンドミルク 200ml,images/73ee9c8028.svg,常温飲料,洋日配,6,,28
f30,ひまわり 鳥取大山卵 6個入,images/79a44842d7.svg,卵,洋日配,12,,29
f31,めぐみ コーヒーゼリー 200g,images/b2d2e78a6e.svg,常温ゼリー,洋日配,0,,30
f32,しずく アーモンドミルク 200ml,images/5570119e66.svg,常温飲料,洋日配,1,,31
f33,サンサン うずら卵 12個入,images/32d1e2633a.svg,卵,洋日配,0,,32
f34,ひまわり 杏仁豆腐 3個,images/af33171f8b.svg,常温ゼリー,洋日配,12,,33
f35,クリア アーモンド1L,images/a23f5c474b.svg,常温飲料,洋日配,0,,34
f36,みらい ヨード卵 6個入,images/f68d71703e.svg,卵,洋日配,1,,35
f37,あさひ ぶどうゼリー 3個,images/4deb921b7e.svg,常温ゼリー,洋日配,6,,36
f38,あおぞら 調製豆乳 200ml,images/cf96402d49.svg,常温飲料,洋日配,1,,37
f39,そよかぜ 黄身さわやか卵 6個入,images/c301324ddd.svg,卵,洋日配,6,,38
f40,つぼみ ぶどうゼリー 3個,images/58b31d28d5.svg,常温ゼリー,洋日配,0,,39
f41,ひまわり アーモンドミルクラテ 200ml,images/9b0cbf3d24.svg,常温飲料,洋日配,0,,40
f42,しずく L玉卵 10個入,images/da1d8ef745.svg,卵,洋日配,3,,41
f43,そよかぜ コーヒーゼリー 3個,images/e2aed4a552.svg,常温ゼリー,洋日配,0,,42
f44,クリア 豆乳飲料麦芽 200ml,images/1c5d8e5b59.svg,常温飲料,洋日配,1,,43
f45,あおぞら MS卵 10個入,images/2981fc48ee.svg,卵,洋日配,0,,44
f46,こもれび 蒟蒻ゼリー 6個,images/f8f47b3563.svg,常温ゼリー,洋日配,0,,45
f47,ほのか 豆乳プレーン 1L,images/bc67002cb6.svg,常温飲料,洋日配,3,,46
f48,なぎさ 赤玉卵 6個入,images/f04fd88781.svg,卵,洋日配,0,,47
