id,name,imageUrl,category,location,Count,tasks,order
d1,ゆいまーる 麦茶 600ml,images/f5361fcd67.svg,お茶,通常飲料棚,1,,0
d2,サンサン カフェオレ 500ml,images/1171571570.svg,コーヒー,通常飲料棚,0,,1
d3,ゆいまーる 100%リンゴ 1L,images/b5965076ef.svg,ジュース,通常飲料棚,3,,2
d4,みらい 天然水 600ml,images/dc655c8ebe.svg,水,通常飲料棚,0,,3
d5,サンサン コーラ風 500ml,images/1f23d0355f.svg,炭酸,エンド中央,0,,4
d6,あさひ サイダー 1.5L,images/c129bfa91a.svg,大型飲料,冷大型飲料,0,,5
d7,そよかぜ 豆乳ドリンク 200ml,images/c47bde71ad.svg,その他,トマト棚,0,,6
d8,あさひ 玄米茶 500ml,images/4319deab36.svg,お茶,冷通常飲料,1,,7
d9,クリア カフェオレ 500ml,images/89d1d1a8e0.svg,コーヒー,冷通常飲料,0,,8
d10,あおぞら トマトジュース 500ml,images/5f41ed0478.svg,ジュース,通常飲料棚,2,,9
d11,しずく アルカリイオン水 600ml,images/20bd0cd2d0.svg,水,通常大型飲料,0,,10
d12,あさひ ぶどう炭酸 500ml,images/9fd35d5a96.svg,炭酸,エンド中央,0,,11
d13,まごころ リンゴジュース 1L,images/6e36e3a710.svg,大型飲料,通常大型飲料,12,,12
d14,ひまわり 甘酒 190ml,images/b9e739e5f8.svg,その他,エンド中央,0,,13
d15,あさひ 麦茶 600ml,images/97b86f5157.svg,お茶,通常飲料棚,0,,14
d16,ほのか アイスコーヒー 1L,images/9d1571f341.svg,コーヒー,通常飲料棚,0,,15
d17,しずく リンゴジュース 500ml,images/f51fdb7d25.svg,ジュース,冷通常飲料,1,,16
d18,そよかぜ 天然水 2L,images/bd51ece63e.svg,水,通常大型飲料,0,,17
d19,つぼみ レモンスカッシュ 500ml,images/2cc3d05b65.svg,炭酸,通常飲料棚,1,,18
d20,あさひ 麦茶 2L,images/afaff960c8.svg,大型飲料,通常大型飲料,12,,19
d21,あさひ プロテイン飲料 200ml,images/04f60d669a.svg,その他,トマト棚,6,,20
d22,なぎさ ルイボスティー 500ml,images/78e3487cfe.svg,お茶,通常飲料棚,2,,21
d23,しずく カフェラテ 500ml,images/1d84b21f75.svg,コーヒー,通常飲料棚,0,,22
d24,ほのか 野菜ジュース 200ml,images/cdd9957b22.svg,ジュース,冷通常飲料,1,,23
d25,あおぞら ミネラルウォーター 600ml,images/e964bfadd7.svg,水,通常大型飲料,0,,24
d26,ゆいまーる ぶどう炭酸 500ml,images/431f9c27bd.svg,炭酸,冷通常飲料,6,,25
d27,クリア 炭酸水 1.5L,images/e601ee5ba2.svg,大型飲料,通常大型飲料,0,,26
d28,あさひ 豆乳ドリンク 200ml,images/1b0215957e.svg,その他,エンド中央,3,,27
d29,まごころ 抹茶ラテ 500ml,images/bbe9f1bda9.svg,お茶,冷通常飲料,2,,28
d30,サンサン 微糖コーヒー 500ml,images/724eaf2a7d.svg,コーヒー,冷通常飲料,0,,29
d31,ほのか オレンジジュース 500ml,images/e653b2eb24.svg,ジュース,通常飲料棚,0,,30
d32,ゆいまーる ミネラルウォーター 600ml,images/4214790bb2.svg,水,冷大型飲料,0,,31
d33,なぎさ クリームソーダ 500ml,images/896a803d92.svg,炭酸,エンド中央,6,,32
d34,こもれび 炭酸水 1.5L,images/5c6e1d918b.svg,大型飲料,通常大型飲料,0,,33
d35,ゆいまーる 豆乳ドリンク 200ml,images/c03ecafe2f.svg,その他,エンド中央,2,,34
d36,あおぞら ルイボスティー 500ml,images/1f09d59ac8.svg,お茶,冷通常飲料,0,,35
d37,そよかぜ カフェラテ 500ml,images/4b831f1de5.svg,コーヒー,冷通常飲料,12,,36
d38,ほのか ぶどうジュース 500ml,images/d2ca5e8bd7.svg,ジュース,通常飲料棚,1,,37
d39,しずく 天然水 2L,images/bc1a0076dc.svg,水,冷通常飲料,0,,38
d40,つぼみ ジンジャーエール 500ml,images/fa7bef59a0.svg,炭酸,エンド中央,12,,39
d41,まごころ 緑茶 2L,images/f0ff55619f.svg,大型飲料,冷大型飲料,6,,40
d42,みらい イオン補給水 500ml,images/0846569558.svg,その他,通常飲料棚,1,,41
d43,サンサン 緑茶 525ml,images/9373bbd548.svg,お茶,通常飲料棚,0,,42
d44,あおぞら エスプレッソラテ 240ml,images/7ccbd9d6f7.svg,コーヒー,通常飲料棚,12,,43
d45,クリア 桃ジュース 500ml,images/8cc154cbb8.svg,ジュース,冷通常飲料,12,,44
d46,クリア アルカリイオン水 600ml,images/54e45fd177.svg,水,冷大型飲料,0,,45
d47,まごころ メロンソーダ 500ml,images/a3b6918240.svg,炭酸,エンド中央,1,,46
d48,なぎさ オレンジジュース 1L,images/ccf8dd6151.svg,大型飲料,冷大型飲料,12,,47
d49,そよかぜ イオン補給水 500ml,images/1d06f85afb.svg,その他,トマト棚,0,,48
d50,あおぞら 烏龍茶 525ml,images/500f36e06d.svg,お茶,通常飲料棚,12,,49
d51,みらい ブラックコーヒー 500ml,images/cd8e8e7621.svg,コーヒー,通常飲料棚,0,,50
d52,あおぞら オレンジジュース 500ml,images/5424815bf1.svg,ジュース,冷通常飲料,0,,51
d53,こもれび ミネラルウォーター 600ml,images/a94a56f6f3.svg,水,通常大型飲料,6,,52
d54,サンサン ジンジャーエール 500ml,images/588ba22c22.svg,炭酸,エンド中央,6,,53
d55,サンサン コーラ風 1.5L,images/838fb7f01c.svg,大型飲料,冷大型飲料,0,,54
d56,あおぞら イオン補給水 500ml,images/d778adb0e7.svg,その他,エンド中央,3,,55
d57,つぼみ 玄米茶 500ml,images/e18f98e0b1.svg,お茶,冷通常飲料,6,,56
