id,name,imageUrl,category,location,Count,tasks,order
f1,あさひ 食パン8枚切り,images/8f98040875.svg,常温食品,洋日配,2,,0
f2,クリア プリン3個パック,images/483918823c.svg,常温食品,洋日配,0,,1
f3,ほのか ベーコン,images/c75ffcd2f1.svg,常温食品,洋日配,0,,2
f4,ひまわり 豆乳飲料アーモンド,images/96ea4e37c1.svg,常温食品,洋日配,0,,3
f5,まごころ クロワッサン,images/787fb92b10.svg,常温食品,洋日配,3,,4
f6,なぎさ シュークリーム,images/8abd990f8c.svg,常温食品,洋日配,0,,5
f7,あおぞら オーツミルク1L,images/dbc6dc9cfc.svg,常温食品,洋日配,0,,6
f8,あおぞら シュークリーム,images/1e92522b18.svg,常温食品,洋日配,1,,7
f9,しずく ゼリー詰め合わせ,images/0ef765cc2b.svg,常温食品,洋日配,0,,8
f10,ほのか オーツミルク1L,images/53ed972093.svg,常温食品,洋日配,0,,9
f11,つぼみ アーモンドミルク1L,images/97dc0f0c5a.svg,常温食品,洋日配,3,,10
f12,ゆいまーる ヨーグルト いちご,images/35a2a90b5d.svg,常温食品,洋日配,0,,11
f13,こもれび 杏仁豆腐,images/07e0900924.svg,常温食品,洋日配,2,,12
f14,みらい ソーセージ,images/8aefe52607.svg,常温食品,洋日配,3,,13
f15,しずく 低脂肪乳1L,images/d4168c7379.svg,常温食品,洋日配,0,,14
f16,なぎさ ヨーグルト いちご,images/9fe675e58b.svg,常温食品,洋日配,6,,15
f17,あさひ 豆乳飲料麦芽コーヒー,images/626cd507a8.svg,常温食品,洋日配,3,,16
f18,クリア ロールケーキ,images/da74981dd5.svg,常温食品,洋日配,12,,17
f19,ゆいまーる 食パン8枚切り,images/75b37d12f2.svg,常温食品,洋日配,12,,18
f20,ほのか 低脂肪乳1L,images/ef127aa682.svg,常温食品,洋日配,6,,19
f21,なぎさ ベーコン,images/f3f471cbb5.svg,常温食品,洋日配,1,,20
f22,つぼみ ソーセージ,images/08d7b09a47.svg,常温食品,洋日配,0,,21
f23,しずく 豆乳飲料ココア,images/0d2d65e451.svg,常温食品,洋日配,1,,22
f24,まごころ 牛乳1L,images/9a68a610a9.svg,常温食品,洋日配,0,,23
f25,ほのか 牛乳1L,images/535adf6ad3.svg,常温食品,洋日配,3,,24
f26,つぼみ 調製豆乳,images/5ecc53dbaa.svg,常温食品,洋日配,6,,25
f27,しずく ヨーグルト プレーン,images/6b179db38f.svg,常温食品,洋日配,0,,26
f28,そよかぜ ロールパン,images/113dc0ed26.svg,常温食品,洋日配,2,,27
f29,ほのか 食パン8枚切り,images/d85c5d498a.svg,常温食品,洋日配,2,,28
f30,ひまわり ピザ生地,images/eb6eab39d1.svg,常温食品,洋日配,1,,29
f31,こもれび 調製豆乳,images/8692e4ea1a.svg,常温食品,洋日配,12,,30
f32,サンサン 豆乳飲料ココア,images/b37abe496b.svg,常温食品,洋日配,0,,31
f33,あさひ 飲むヨーグルト,images/752e7a387c.svg,常温食品,洋日配,6,,32
f34,こもれび ハム5枚,images/53b2bb5c99.svg,常温食品,洋日配,0,,33
f35,あさひ 低脂肪乳1L,images/e9c9194aed.svg,常温食品,洋日配,6,,34
f36,そよかぜ スライスチーズ,images/0325015306.svg,常温食品,洋日配,0,,35
f37,あおぞら クロワッサン,images/2c17d9873a.svg,常温食品,洋日配,0,,36
f38,サンサン クロワッサン,images/629e9f9412.svg,常温食品,洋日配,2,,37
f39,そよかぜ アーモンドミルク1L,images/752b7db5c5.svg,常温食品,洋日配,12,,38
f40,つぼみ 飲むヨーグルト,images/63ef594226.svg,常温食品,洋日配,12,,39
f41,つぼみ ヨーグルト いちご,images/40507d3782.svg,常温食品,洋日配,6,,40
f42,ひまわり クロワッサン,images/0047a3296f.svg,常温食品,洋日配,1,,41
f43,サンサン 豆乳飲料アーモンド,images/1959b50d91.svg,常温食品,洋日配,0,,42
f44,つぼみ 豆乳飲料アーモンド,images/0203aa41f0.svg,常温食品,洋日配,12,,43
f45,ほのか シュークリーム,images/43ca6c6e4a.svg,常温食品,洋日配,0,,44
f46,サンサン ロールパン,images/67af6b628f.svg,常温食品,洋日配,6,,45
f47,ひまわり ロールケーキ,images/d637a0b96d.svg,常温食品,洋日配,12,,46
f48,めぐみ クロワッサン,images/c1ef831e5c.svg,常温食品,洋日配,0,,47
